year,date,WLN,method,clitellata_hirudinida,insecta_ephemeroptera,insecta_odonata,insecta_hemiptera,insecta_coleoptera,insecta_diptera,insecta_trichoptera,gastropoda_basommatophora,crustacea,mollusca
1998,6/24/98,L-4,DN,0,0,0,8,0,0,0,0,0,0
1998,6/24/98,L-4,BT1,0,0,0,0,0,0,0,0,0,0
1998,6/24/98,L-4,BT2,0,0,0,0,0,0,0,0,0,0
1998,6/24/98,L-4,BT3,0,0,0,0,0,0,0,0,0,0
2000,5/31/00,MH-2,DN,1,2,2,0,0,0,1,0,0,0
2000,5/31/00,MH-2,BT1,4,0,0,0,0,0,0,0,0,0
2000,5/31/00,MH-2,BT2,0,0,0,0,0,0,0,0,0,0
2000,5/31/00,MH-2,BT3,0,0,0,0,0,0,0,0,0,0
2000,6/1/00,MH-5,DN,0,0,0,0,0,0,0,0,0,0
2000,6/1/00,MH-5,BT1,0,0,0,1,0,0,0,148,0,0
2000,6/1/00,MH-5,BT2,0,0,0,0,0,0,0,0,0,0
2000,6/1/00,MH-5,BT3,0,0,0,0,0,0,0,0,0,0
2000,Jun-00,IGH-8,DN,11,0,0,0,0,0,0,2,0,0
2000,Jun-00,IGH-8,BT1,42,0,0,113,0,0,0,0,0,0
2000,Jun-00,IGH-8,BT2,26,0,0,103,0,0,0,0,0,0
2000,Jun-00,IGH-8,BT3,54,0,0,172,0,0,0,0,0,0
2000,6/6/00,IGH-6,DN,6,0,0,0,0,0,0,0,0,0
2000,6/6/00,IGH-6,BT1,50,0,0,71,0,0,0,0,0,0
2000,6/6/00,IGH-6,BT2,189,0,0,23,0,0,0,0,0,0
2000,6/6/00,IGH-6,BT3,0,0,0,302,0,0,0,0,0,0
2000,6/11/00,LH-1,DN,0,3,25,0,0,0,7,10,0,0
2000,6/11/00,LH-1,BT1,0,0,0,35,0,0,0,0,0,0
2000,6/11/00,LH-1,BT2,0,0,0,0,0,0,0,0,0,0
2000,6/11/00,LH-1,BT3,0,0,0,11,0,0,0,0,0,0
2000,6/12/00,H-3,DN,0,1,0,0,0,86,0,1,0,0
2000,6/12/00,H-3,BT1,0,0,0,35,0,0,0,0,0,0
2000,6/12/00,H-3,BT2,0,0,0,73,0,0,0,0,0,0
2000,6/12/00,H-3,BT3,0,0,0,161,0,0,0,0,0,0
2000,6/12/00,MH-4,DN,3,3,11,0,0,0,0,23,0,0
2000,6/12/00,MH-4,BT1,0,0,0,74,0,0,0,0,0,0
2000,6/12/00,MH-4,BT2,0,0,0,0,0,0,0,0,0,0
2000,6/12/00,MH-4,BT3,0,0,0,0,0,0,0,0,0,0
2000,6/12/00,IGH-7,DN,0,1,1,0,0,0,0,4,0,0
2000,6/12/00,IGH-7,BT1,0,0,0,29,0,0,0,0,0,0
2000,6/12/00,IGH-7,BT2,0,0,0,59,0,0,0,0,0,0
2000,6/12/00,IGH-7,BT3,0,0,0,56,0,0,0,0,0,0
2000,6/12/00,T-1,DN,0,1,0,0,0,0,0,1,0,0
2000,6/12/00,T-1,BT1,0,0,0,35,0,0,0,0,0,0
2000,6/12/00,T-1,BT2,0,0,0,73,0,0,0,0,0,0
2000,6/12/00,T-1,BT3,0,0,0,161,0,0,0,0,0,0
2000,6/14/00,IGH-9,DN,2,5,18,0,0,0,2,125,0,0
2000,6/14/00,IGH-9,BT1,2,0,0,15,0,0,0,0,0,0
2000,6/14/00,IGH-9,BT2,3,0,0,4,0,0,0,0,0,0
2000,6/14/00,IGH-9,BT3,1,0,0,2,0,0,0,0,0,0
2000,6/26/00,IGH-8,DN,6,0,0,0,0,0,0,13,0,0
2000,6/26/00,IGH-8,BT1,1,0,0,15,0,0,0,0,0,0
2000,6/26/00,IGH-8,BT2,2,0,0,8,0,0,0,0,0,0
2000,6/26/00,IGH-8,BT3,24,0,0,24,0,0,0,0,0,0
2000,6/28/00,H-1,DN,3,0,2,17,0,0,1,3,0,0
2000,6/28/00,H-1,BT1,0,0,0,4,0,0,0,0,0,0
2000,6/28/00,H-1,BT2,0,0,0,19,0,0,0,0,0,0
2000,6/28/00,H-1,BT3,1,0,0,7,0,0,0,0,0,0
2000,7/8/00,T-1,DN,0,0,3,0,0,0,0,33,0,0
2000,7/8/00,T-1,BT1,0,0,0,1,17,0,0,0,0,0
2000,7/8/00,T-1,BT2,4,0,3,0,3,0,0,0,0,0
2000,7/8/00,T-1,BT3,0,0,2,0,8,0,0,0,0,0
2000,8/6/00,MH-2,DN,18,1,1,0,0,0,2,110,0,0
2000,8/6/00,MH-2,BT1,3,0,0,0,0,0,0,0,0,0
2000,8/6/00,MH-2,BT2,0,0,0,19,0,0,0,0,0,0
2000,8/6/00,MH-2,BT3,2,0,0,7,0,0,0,0,0,0
2001,5/30/01,H-1,DN,1,0,0,0,0,0,0,0,0,0
2001,5/30/01,H-1,BT1,3,0,0,205,14,0,0,0,0,0
2001,5/30/01,H-1,BT2,4,0,0,326,16,0,0,1,0,0
2001,5/30/01,H-1,BT3,3,0,0,4,27,0,0,0,0,0
2001,6/4/01,IGH-9,DN,1,0,4,0,0,0,0,77,0,74
2001,6/4/01,IGH-9,BT1,1,0,1,2,3,0,1,9,0,3
2001,6/4/01,IGH-9,BT2,0,0,0,16,9,0,0,12,0,0
2001,6/4/01,IGH-9,BT3,8,0,0,0,2,0,0,20,0,6
2001,6/7/01,MH-4,DN,5,0,8,0,0,0,5,25,0,0
2001,6/7/01,MH-4,BT1,1,0,6,127,44,0,0,1,0,0
2001,6/7/01,MH-4,BT2,4,0,3,80,56,0,0,10,15,0
2001,6/7/01,MH-4,BT3,0,0,1,51,33,0,1,11,0,0
2001,6/12/01,IGH-10,DN,12,0,5,0,0,0,1,41,19,0
2001,6/12/01,IGH-10,BT1,6,0,0,19,18,0,8,2,4,0
2001,6/12/01,IGH-10,BT2,5,11,0,0,4,0,7,3,7,0
2001,6/12/01,IGH-10,BT3,21,2,0,1,5,0,6,11,0,0
2001,6/13/01,H-4,DN,3,2,6,0,0,0,0,0,0,0
2001,6/13/01,H-4,BT1,0,0,0,11,3,0,0,0,0,0
2001,6/13/01,H-4,BT2,0,0,0,6,1,0,0,0,0,0
