year,date,township,WLN,latitude,longitude,method,clitellata_hirudinida,insecta_ephemeroptera,insecta_odonata,insecta_hemiptera,insecta_coleoptera,insecta_diptera,insecta_trichoptera,gastropoda_basommatophora,crustacea,mollusca
1998,1998-06-24,lakeville,L-4,44.685557,-93.257247,DN,0,0,0,8,0,0,0,0,0,0
1998,1998-06-24,lakeville,L-4,44.685557,-93.257247,BT1,0,0,0,0,0,0,0,0,0,0
1998,1998-06-24,lakeville,L-4,44.685557,-93.257247,BT2,0,0,0,0,0,0,0,0,0,0
1998,1998-06-24,lakeville,L-4,44.685557,-93.257247,BT3,0,0,0,0,0,0,0,0,0,0
2000,2000-05-31,mendota_heights,MH-2,44.873927,-93.114444,DN,1,2,2,0,0,0,1,0,0,0
2000,2000-05-31,mendota_heights,MH-2,44.873927,-93.114444,BT1,4,0,0,0,0,0,0,0,0,0
2000,2000-05-31,mendota_heights,MH-2,44.873927,-93.114444,BT2,0,0,0,0,0,0,0,0,0,0
2000,2000-05-31,mendota_heights,MH-2,44.873927,-93.114444,BT3,0,0,0,0,0,0,0,0,0,0
2000,2000-06-01,mendota_heights,MH-5,44.867913,-93.124495,DN,0,0,0,0,0,0,0,0,0,0
2000,2000-06-01,mendota_heights,MH-5,44.867913,-93.124495,BT1,0,0,0,1,0,0,0,148,0,0
2000,2000-06-01,mendota_heights,MH-5,44.867913,-93.124495,BT2,0,0,0,0,0,0,0,0,0,0
2000,2000-06-01,mendota_heights,MH-5,44.867913,-93.124495,BT3,0,0,0,0,0,0,0,0,0,0
2000,2000-06-01,inver_grove_heights,IGH-8,44.820456,-93.085119,DN,11,0,0,0,0,0,0,2,0,0
2000,2000-06-01,inver_grove_heights,IGH-8,44.820456,-93.085119,BT1,42,0,0,113,0,0,0,0,0,0
2000,2000-06-01,inver_grove_heights,IGH-8,44.820456,-93.085119,BT2,26,0,0,103,0,0,0,0,0,0
2000,2000-06-01,inver_grove_heights,IGH-8,44.820456,-93.085119,BT3,54,0,0,172,0,0,0,0,0,0
2000,2000-06-06,inver_grove_heights,IGH-6,44.796868,-93.052567,DN,6,0,0,0,0,0,0,0,0,0
2000,2000-06-06,inver_grove_heights,IGH-6,44.796868,-93.052567,BT1,50,0,0,71,0,0,0,0,0,0
2000,2000-06-06,inver_grove_heights,IGH-6,44.796868,-93.052567,BT2,189,0,0,23,0,0,0,0,0,0
2000,2000-06-06,inver_grove_heights,IGH-6,44.796868,-93.052567,BT3,0,0,0,302,0,0,0,0,0,0
2000,2000-06-11,lakeville,IGH-1,44.862258,-93.074207,DN,0,3,25,0,0,0,7,10,0,0
2000,2000-06-11,lakeville,IGH-1,44.862258,-93.074207,BT1,0,0,0,35,0,0,0,0,0,0
2000,2000-06-11,lakeville,IGH-1,44.862258,-93.074207,BT2,0,0,0,0,0,0,0,0,0,0
2000,2000-06-11,lakeville,IGH-1,44.862258,-93.074207,BT3,0,0,0,11,0,0,0,0,0,0
2000,2000-06-12,hastings,H-3,44.726887,-92.887834,DN,0,1,0,0,0,86,0,1,0,0
2000,2000-06-12,hastings,H-3,44.726887,-92.887834,BT1,0,0,0,35,0,0,0,0,0,0
2000,2000-06-12,hastings,H-3,44.726887,-92.887834,BT2,0,0,0,73,0,0,0,0,0,0
2000,2000-06-12,hastings,H-3,44.726887,-92.887834,BT3,0,0,0,161,0,0,0,0,0,0
2000,2000-06-12,mendota_heights,MH-4,44.866886,-93.166092,DN,3,3,11,0,0,0,0,23,0,0
2000,2000-06-12,mendota_heights,MH-4,44.866886,-93.166092,BT1,0,0,0,74,0,0,0,0,0,0
2000,2000-06-12,mendota_heights,MH-4,44.866886,-93.166092,BT2,0,0,0,0,0,0,0,0,0,0
2000,2000-06-12,mendota_heights,MH-4,44.866886,-93.166092,BT3,0,0,0,0,0,0,0,0,0,0
2000,2000-06-12,inver_grove_heights,IGH-7,44.794477,-93.10182,DN,0,1,1,0,0,0,0,4,0,0
