year,township,WLN,method,clitellata_hirudinida
1998,lakeville,L-4,DN,0
1998,lakeville,L-4,BT1,0
1998,lakeville,L-4,BT2,0
1998,lakeville,L-4,BT3,0
2000,mendota_heights,MH-2,DN,1
2000,mendota_heights,MH-2,BT1,4
2000,mendota_heights,MH-2,BT2,0
2000,mendota_heights,MH-2,BT3,0
2000,mendota_heights,MH-5,DN,0
2000,mendota_heights,MH-5,BT1,0
2000,mendota_heights,MH-5,BT2,0
2000,mendota_heights,MH-5,BT3,0
2000,inver_grove_heights,IGH-8,DN,11
2000,inver_grove_heights,IGH-8,BT1,42
2000,inver_grove_heights,IGH-8,BT2,26
2000,inver_grove_heights,IGH-8,BT3,54
2000,inver_grove_heights,IGH-6,DN,6
2000,inver_grove_heights,IGH-6,BT1,50
2000,inver_grove_heights,IGH-6,BT2,189
2000,inver_grove_heights,IGH-6,BT3,0
2000,lakeville,LH-1,DN,0
2000,lakeville,LH-1,BT1,0
2000,lakeville,LH-1,BT2,0
2000,lakeville,LH-1,BT3,0
2000,hastings,H-3,DN,0
2000,hastings,H-3,BT1,0
2000,hastings,H-3,BT2,0
2000,hastings,H-3,BT3,0
2000,mendota_heights,MH-4,DN,3
2000,mendota_heights,MH-4,BT1,0
2000,mendota_heights,MH-4,BT2,0
2000,mendota_heights,MH-4,BT3,0
2000,inver_grove_heights,IGH-7,DN,0
2000,inver_grove_heights,IGH-7,BT1,0
2000,inver_grove_heights,IGH-7,BT2,0
2000,inver_grove_heights,IGH-7,BT3,0
2000,northfield,T-1,DN,0
2000,northfield,T-1,BT1,0
2000,northfield,T-1,BT2,0
2000,northfield,T-1,BT3,0
2000,inver_grove_heights,IGH-9,DN,2
2000,inver_grove_heights,IGH-9,BT1,2
2000,inver_grove_heights,IGH-9,BT2,3
2000,inver_grove_heights,IGH-9,BT3,1
2000,inver_grove_heights,IGH-8,DN,6
2000,inver_grove_heights,IGH-8,BT1,1
2000,inver_grove_heights,IGH-8,BT2,2
2000,inver_grove_heights,IGH-8,BT3,24
2000,hastings,H-1,DN,3
2000,hastings,H-1,BT1,0
2000,hastings,H-1,BT2,0
2000,hastings,H-1,BT3,1
2000,northfield,T-1,DN,0
2000,northfield,T-1,BT1,0
2000,northfield,T-1,BT2,4
2000,northfield,T-1,BT3,0
2000,mendota_heights,MH-2,DN,18
2000,mendota_heights,MH-2,BT1,3
2000,mendota_heights,MH-2,BT2,0
2000,mendota_heights,MH-2,BT3,2
2001,hastings,H-1,DN,1
2001,hastings,H-1,BT1,3
2001,hastings,H-1,BT2,4
2001,hastings,H-1,BT3,3
2001,inver_grove_heights,IGH-9,DN,1
2001,inver_grove_heights,IGH-9,BT1,1
2001,inver_grove_heights,IGH-9,BT2,0
2001,inver_grove_heights,IGH-9,BT3,8
2001,mendota_heights,MH-4,DN,5
2001,mendota_heights,MH-4,BT1,1
2001,mendota_heights,MH-4,BT2,4
2001,mendota_heights,MH-4,BT3,0
2001,inver_grove_heights,IGH-10,DN,12
2001,inver_grove_heights,IGH-10,BT1,6
2001,inver_grove_heights,IGH-10,BT2,5
2001,inver_grove_heights,IGH-10,BT3,21
2001,hastings,H-4,DN,3
2001,hastings,H-4,BT1,0
2001,hastings,H-4,BT2,0
2001,hastings,H-4,BT3,0
2001,mendota_heights,MH-6,DN,10
2001,mendota_heights,MH-6,BT1,3
2001,mendota_heights,MH-6,BT2,0
2001,mendota_heights,MH-6,BT3,5
2001,inver_grove_heights,IGH-11,DN,0
2001,inver_grove_heights,IGH-11,BT1,8
2001,inver_grove_heights,IGH-11,BT2,4
2001,inver_grove_heights,IGH-11,BT3,14
2001,inver_grove_heights,IGH-1,DN,1
2001,inver_grove_heights,IGH-1,BT1,8
2001,inver_grove_heights,IGH-1,BT2,0
2001,inver_grove_heights,IGH-1,BT3,0
2001,inver_grove_heights,IGH-1,DN,0
2001,inver_grove_heights,IGH-1,BT1,5
2001,inver_grove_heights,IGH-1,BT2,0
2001,inver_grove_heights,IGH-1,BT3,0
2001,mendota_heights,MH-2,DN,0
2001,mendota_heights,MH-2,BT1,11
2001,mendota_heights,MH-2,BT2,4
2001,mendota_heights,MH-2,BT3,10
2001,lakeville,L-3,DN,2
2001,lakeville,L-3,BT1,0
2001,lakeville,L-3,BT2,0
2001,lakeville,L-3,BT3,0
2001,lakeville,L-4,DN,0
2001,lakeville,L-4,BT1,0
2001,lakeville,L-4,BT2,0
2001,lakeville,L-4,BT3,0
2001,lakeville,L-6,DN,0
2001,lakeville,L-6,BT1,0
2001,lakeville,L-6,BT2,0
2001,lakeville,L-6,BT3,0
2001,hastings,H-3,DN,1
2001,hastings,H-3,BT1,1
2001,hastings,H-3,BT2,1
2001,hastings,H-3,BT3,0
2001,mendota_heights,MH-5,DN,9
2001,mendota_heights,MH-5,BT1,3
2001,mendota_heights,MH-5,BT2,3
2001,mendota_heights,MH-5,BT3,8
2001,lakeville,L-5,DN,0
2001,lakeville,L-5,BT1,0
2001,lakeville,L-5,BT2,0
2001,lakeville,L-5,BT3,0
2001,mendota_heights,MH-7,DN,8
2001,mendota_heights,MH-7,BT1,0
2001,mendota_heights,MH-7,BT2,0
2001,mendota_heights,MH-7,BT3,0
2001,lakeville,L-6,DN,0
2001,lakeville,L-6,BT1,0
2001,lakeville,L-6,BT2,1
2001,lakeville,L-6,BT3,1
2001,northfield,T-1,DN,0
2001,northfield,T-1,BT1,0
2001,northfield,T-1,BT2,4
2001,northfield,T-1,BT3,0
2002,hastings,H-4,DN,0
2002,hastings,H-4,BT1,0
2002,hastings,H-4,BT2,0
2002,hastings,H-4,BT3,0
2002,hastings,H-3,DN,0
2002,hastings,H-3,BT1,0
2002,hastings,H-3,BT2,0
2002,hastings,H-3,BT3,0
2002,inver_grove_heights,IGH-1,DN,3
2002,inver_grove_heights,IGH-1,BT1,0
2002,inver_grove_heights,IGH-1,BT2,1
2002,inver_grove_heights,IGH-1,BT3,0
2002,inver_grove_heights,IGH-13,DN,24
2002,inver_grove_heights,IGH-13,BT1,205
2002,inver_grove_heights,IGH-13,BT2,0
2002,inver_grove_heights,IGH-13,BT3,0
2002,hastings,H-5,DN,1
2002,hastings,H-5,BT1,0
2002,hastings,H-5,BT2,0
2002,hastings,H-5,BT3,0
2003,apple_valley,AV-1,DN,1
2003,apple_valley,AV-1,BT1,0
2003,apple_valley,AV-5,DN,1
2003,apple_valley,AV-5,BT1,0
2003,apple_valley,AV-6,DN,0
2003,apple_valley,AV-6,BT1,1
2003,apple_valley,AV-7,DN,0
2003,apple_valley,AV-7,BT1,0
2003,rosemount,R-10,DN,3
2003,rosemount,R-10,BT1,2
2003,rosemount,R-10,BT2,0
2003,rosemount,R-10,BT3,0
2003,farmington,F-1,DN,2
2003,farmington,F-1,BT1,1
2003,farmington,F-1,BT2,2
2003,farmington,F-1,BT3,1
2003,lakeville,L-7,DN,0
2003,lakeville,L-7,BT1,0
2003,lakeville,L-7,BT2,0
2003,lakeville,L-7,BT3,0
2003,lakeville,L-8,DN,1
2003,lakeville,L-8,BT1,0
2003,lakeville,L-8,BT2,0
2003,lakeville,L-8,BT3,0
2003,farmington,F-4,DN,0
2003,farmington,F-4,BT1,0
2003,farmington,F-4,BT2,0
2003,farmington,F-4,BT3,0
2003,hastings,H-4,DN,0
2003,hastings,H-4,BT1,0
2003,hastings,H-4,BT2,1
2003,hastings,H-4,BT3,0
2003,rosemount,R-11,DN,4
2003,rosemount,R-11,BT1,2
2003,rosemount,R-11,BT2,0
2003,rosemount,R-11,BT3,0
2003,burnsville,B-3,DN,0
2003,burnsville,B-3,BT1,0
2003,farmington,F-3,DN,0
2003,farmington,F-3,BT1,0
2003,farmington,F-3,BT2,0
2003,bloomington,MNV-3,DN,3
2003,bloomington,MNV-3,BT1,0
2003,bloomington,MNV-3,BT2,0
2003,bloomington,MNV-3,BT3,0
2003,bloomington,MNV-4,DN,21
2003,bloomington,MNV-4,BT1,21
2003,bloomington,MNV-4,BT2,0
2003,bloomington,MNV-4,BT3,0
2003,rosemount,R-12,DN,15
2003,rosemount,R-12,BT1,1
2003,rosemount,R-12,BT2,0
2003,burnsville,B-10,DN,3
2003,burnsville,B-10,BT1,0
2003,burnsville,B-11,DN,17
2003,burnsville,B-11,BT1,8
2003,hastings,H-4,DN,12
2003,hastings,H-4,BT1,32
2003,hastings,H-4,BT2,38
2003,hastings,H-4,BT3,20
2003,bloomington,MNV-1,DN,3
2003,bloomington,MNV-1,BT1,1
2003,bloomington,MNV-1,BT2,0
2003,bloomington,MNV-1,BT3,0
2003,bloomington,MNV-2,DN,3
2003,bloomington,MNV-2,BT1,3
2003,bloomington,MNV-2,BT2,0
2003,bloomington,MNV-2,BT3,0
2003,burnsville,B-1,DN,9
2003,burnsville,B-1,BT1,0
2003,eagan,E-18,DN,6
2003,eagan,E-18,BT1,2
2003,eagan,E-18,BT2,5
2003,eagan,E-18,BT3,0
2003,eagan,E-10,DN,0
2003,eagan,E-10,BT1,0
2003,eagan,E-10,BT2,0
2003,eagan,E-10,BT3,0
2003,apple_valley,AV-1,BT1,11
2003,apple_valley,AV-1,BT2,0
2003,apple_valley,AV-1,DN,11
2003,lakeville,L-4,DN,2
2003,lakeville,L-4,BT1,1
2003,lakeville,L-4,BT2,1
2003,lakeville,L-4,BT3,0
2003,lakeville,L-9,DN,1
2003,lakeville,L-9,BT1,0
2003,lakeville,L-9,BT2,0
2003,lakeville,L-9,BT3,0
2003,farmington,F-1,DN,1
2003,farmington,F-1,BT1,48
2003,eagan,E-17,DN,2
2003,eagan,E-17,BT1,0
2003,eagan,E-17,BT2,0
2003,eagan,E-17,BT3,3
2003,rosemount,R-12,DN,30
2003,rosemount,R-12,BT1,25
2003,rosemount,R-12,BT2,25
2003,rosemount,R-12,BT3,25
2003,rosemount,R-13,DN,1
2003,rosemount,R-13,BT1,0
2003,rosemount,R-13,BT2,0
2003,rosemount,R-13,BT3,0
2003,eagan,E-11,DN,0
2003,eagan,E-11,BT1,2
2003,eagan,E-11,BT2,2
2003,eagan,E-11,BT3,1
2003,eagan,E-16,DN,0
2003,eagan,E-16,BT1,1
2003,eagan,E-16,BT2,5
2003,eagan,E-16,BT3,1
2003,hastings,H-6,DN,2
2003,hastings,H-6,BT1,2
2003,hastings,H-6,BT2,0
2003,hastings,H-6,BT3,0
2003,inver_grove_heights,IGH-O,DN,0
2003,inver_grove_heights,IGH-O,BT1,1
2003,inver_grove_heights,IGH-O,BT2,0
2003,inver_grove_heights,IGH-O,BT3,0
2003,bloomington,MNV-5,DN,0
2003,bloomington,MNV-5,BT1,0
2003,bloomington,MNV-5,BT2,0
2003,bloomington,MNV-5,BT3,0
2003,bloomington,MNV-6,DN,0
2003,bloomington,MNV-6,BT1,0
2003,bloomington,MNV-6,BT2,0
2003,bloomington,MNV-6,BT3,0
2003,eagan,E-17,DN,3
2003,eagan,E-17,BT1,16
2003,eagan,E-17,BT2,11
2003,eagan,E-17,BT3,9
2003,lakeville,L-7,DN,0
2003,lakeville,L-7,BT1,0
2003,lakeville,L-7,BT2,0
2003,lakeville,L-7,BT3,0
2003,apple_valley,AV-1,DN,0
2003,apple_valley,AV-1,BT1,1
2003,burnsville,B-1,DN,1
2003,burnsville,B-1,BT1,0
2003,burnsville,B-1,BT2,1
2003,burnsville,B-1,BT3,2
2003,eagan,E-17,DN,3
2003,eagan,E-17,BT1,35
2003,burnsville,B-1,DN,15
2003,burnsville,B-1,BT1,0
2004,mendota_heights,MH-9,DN,0
2004,mendota_heights,MH-9,BT1,1
2004,mendota_heights,MH-9,BT2,0
2004,mendota_heights,MH-9,BT3,0
2004,hastings,H-4,DN,1
2004,hastings,H-4,BT1,1
2004,hastings,H-4,BT2,1
2004,hastings,H-4,BT3,8
2004,eagan,E-9,DN,2
2004,eagan,E-9,BT1,1
2004,eagan,E-9,BT2,0
2004,eagan,E-9,BT3,0
2004,eagan,E-10,DN,1
2004,eagan,E-10,BT1,1
2004,eagan,E-10,BT2,0
2004,eagan,E-10,BT3,0
2004,lakeville,L-7,DN,1
2004,lakeville,L-7,BT1,1
2004,lakeville,L-7,BT2,0
2004,lakeville,L-7,BT3,0
2004,lakeville,L-8,DN,2
2004,lakeville,L-8,BT1,0
2004,lakeville,L-8,BT2,0
2004,lakeville,L-8,BT3,0
2004,rosemount,R-10,DN,13
2004,rosemount,R-10,BT1,15
2004,rosemount,R-10,BT2,0
2004,rosemount,R-10,BT3,0
2004,apple_valley,AV-1,DN,0
2004,apple_valley,AV-1,BT1,2
2004,apple_valley,AV-1,BT2,0
2004,apple_valley,AV-6,DN,4
2004,apple_valley,AV-6,BT1,1
2004,apple_valley,AV-6,BT2,0
2004,apple_valley,AV-6,BT3,0
2004,apple_valley,AV-8,DN,1
2004,apple_valley,AV-8,BT1,2
2004,apple_valley,AV-8,BT2,0
2004,apple_valley,AV-8,BT3,0
2004,burnsville,B-3,DN,0
2004,burnsville,B-3,BT1,1
2004,burnsville,B-3,BT2,0
2004,burnsville,B-3,BT3,0
2004,burnsville,B-10,DN,0
2004,burnsville,B-10,BT1,1
2004,burnsville,B-10,BT2,0
2004,burnsville,B-10,BT3,0
2004,mendota_heights,MH-2,DN,0
2004,mendota_heights,MH-2,BT1,2
2004,mendota_heights,MH-2,BT2,0
2004,mendota_heights,MH-2,BT3,0
2004,hastings,H-6,DN,15
2004,hastings,H-6,BT1,11
2004,hastings,H-6,BT2,15
2004,hastings,H-6,BT3,23
2004,farmington,F-3,DN,0
2004,farmington,F-3,BT1,0
2004,farmington,F-3,BT2,0
2004,farmington,F-3,BT3,0
2004,farmington,F-4,DN,2
2004,farmington,F-4,BT1,0
2004,farmington,F-4,BT2,0
2004,farmington,F-4,BT3,0
2004,rosemount,R-11,DN,0
2004,rosemount,R-11,BT1,0
2004,rosemount,R-11,BT2,0
2004,rosemount,R-11,BT3,0
2004,burnsville,B-1,DN,1
2004,burnsville,B-1,BT1,0
2004,burnsville,B-1,BT2,0
2004,burnsville,B-1,BT3,0
2004,farmington,F-5,DN,1
2004,farmington,F-5,BT1,1
2004,farmington,F-5,BT2,2
2004,farmington,F-5,BT3,1
2004,lakeville,L-4,DN,1
2004,lakeville,L-4,BT1,1
2004,lakeville,L-4,BT2,0
2004,lakeville,L-4,BT3,0
2004,lakeville,L-9,DN,0
2004,lakeville,L-9,BT1,1
2004,lakeville,L-9,BT2,0
2004,lakeville,L-9,BT3,0
2004,mendota_heights,MH-2,DN,1
2004,mendota_heights,MH-2,BT1,2
2004,mendota_heights,MH-2,BT2,0
2004,mendota_heights,MH-2,BT3,0
2004,hastings,H-6,DN,1
2004,hastings,H-6,BT1,3
2004,hastings,H-6,BT2,3
2004,hastings,H-6,BT3,3
2004,rosemount,R-12,DN,6
2004,rosemount,R-12,BT1,4
2004,rosemount,R-12,BT2,0
2004,rosemount,R-12,BT3,0
2004,eagan,E-17,DN,0
2004,eagan,E-17,BT1,1
2004,eagan,E-17,BT2,0
2004,eagan,E-17,BT3,0
2004,hastings,sand_coulee,DN,6
2004,hastings,sand_coulee,BT1,65
2004,hastings,sand_coulee,BT2,97
2004,hastings,sand_coulee,BT3,150
2004,burnsville,B-1,DN,3
2004,burnsville,B-1,BT1,5
2004,burnsville,B-1,BT2,0
2004,burnsville,B-1,BT3,0
2004,apple_valley,AV-1,DN,0
2004,apple_valley,AV-1,BT1,0
2004,apple_valley,AV-1,BT2,0
2004,apple_valley,AV-1,BT3,0
2004,eagan,E-9,DN,2
2004,eagan,E-9,BT1,2
2004,eagan,E-9,BT2,0
2004,eagan,E-9,BT3,0
2004,apple_valley,AV-7,DN,0
2004,apple_valley,AV-7,BT1,0
2004,apple_valley,AV-7,BT2,0
2004,apple_valley,AV-7,BT3,1
2004,eagan,E-14,DN,1
2004,eagan,E-14,BT1,1
2004,eagan,E-14,BT2,0
2004,eagan,E-14,BT3,0
2004,rosemount,R-1,DN,0
2004,rosemount,R-1,BT1,1
2004,rosemount,R-1,BT2,0
2004,rosemount,R-1,BT3,0
2004,rosemount,R-1,DN,0
2004,rosemount,R-1,BT1,6
2004,rosemount,R-1,BT2,0
2004,rosemount,R-1,BT3,0
2004,lakeville,L-7,DN,1
2004,lakeville,L-7,BT1,0
2004,lakeville,L-7,BT2,0
2004,lakeville,L-7,BT3,0
2004,burnsville,B-11,DN,4
2004,burnsville,B-11,BT1,23
2004,burnsville,B-11,BT2,0
2004,burnsville,B-11,BT3,0
2005,hastings,H-30,DN,0
2005,hastings,H-30,BT1,8
2005,hastings,H-30,BT2,0
2005,hastings,H-30,BT3,7
2005,rosemount,R-14,DN,0
2005,rosemount,R-14,BT1,0
2005,rosemount,R-14,BT2,0
2005,rosemount,R-14,BT3,0
2005,farmington,F-3,DN,0
2005,farmington,F-3,BT1,0
2005,farmington,F-3,BT2,0
2005,farmington,F-3,BT3,0
2005,farmington,F-4,DN,0
2005,farmington,F-4,BT1,0
2005,farmington,F-4,BT2,0
2005,farmington,F-4,BT3,0
2005,burnsville,B-6,DN,0
2005,burnsville,B-6,BT1,0
2005,burnsville,B-6,BT2,0
2005,burnsville,B-6,BT3,0
2005,farmington,F-1,DN,8
2005,farmington,F-1,BT1,2
2005,farmington,F-1,BT2,1
2005,farmington,F-1,BT3,2
2005,mendota_heights,MH-2,DN,0
2005,mendota_heights,MH-2,BT1,0
2005,mendota_heights,MH-2,BT2,0
2005,mendota_heights,MH-2,BT3,0
2005,rosemount,R-1,DN,0
2005,rosemount,R-1,BT1,1
2005,rosemount,R-1,BT2,2
2005,rosemount,R-1,BT3,1
2005,apple_valley,AV-6,DN,1
2005,apple_valley,AV-6,BT1,2
2005,apple_valley,AV-6,BT2,0
2005,apple_valley,AV-6,BT3,0
2005,apple_valley,AV-8,DN,1
2005,apple_valley,AV-8,BT1,0
2005,apple_valley,AV-8,BT2,0
2005,apple_valley,AV-8,BT3,0
2005,apple_valley,AV-9,DN,3
2005,apple_valley,AV-9,BT1,3
2005,apple_valley,AV-9,BT2,0
2005,apple_valley,AV-9,BT3,0
2005,hastings,H-6,DN,0
2005,hastings,H-6,BT1,0
2005,hastings,H-6,BT2,0
2005,hastings,H-6,BT3,0
2005,hastings,H-4,DN,1
2005,hastings,H-4,BT1,1
2005,hastings,H-4,BT2,0
2005,hastings,H-4,BT3,0
2005,apple_valley,AV-1,DN,0
2005,apple_valley,AV-1,BT1,0
2005,apple_valley,AV-1,BT2,0
2005,apple_valley,AV-1,BT3,0
2005,rosemount,R-12,DN,0
2005,rosemount,R-12,BT1,0
2005,rosemount,R-12,BT2,0
2005,rosemount,R-12,BT3,0
2005,lakeville,L-7,DN,3
2005,lakeville,L-7,BT1,1
2005,lakeville,L-7,BT2,0
2005,lakeville,L-7,BT3,0
2005,rosemount,R-1,DN,0
2005,rosemount,R-1,BT1,0
2005,rosemount,R-1,BT2,0
2005,rosemount,R-1,BT3,0
2005,eagan,E-10,DN,0
2005,eagan,E-10,BT1,0
2005,eagan,E-10,BT2,0
2005,eagan,E-10,BT3,0
2005,hastings,H-6,DN,0
2005,hastings,H-6,BT1,0
2005,hastings,H-6,BT2,0
2005,hastings,H-6,BT3,1
2005,lakeville,L-7,DN,0
2005,lakeville,L-7,BT1,0
2005,lakeville,L-7,BT2,0
2005,lakeville,L-7,BT3,0
2005,mendota_heights,MH-11,DN,4
2005,mendota_heights,MH-11,BT1,5
2005,mendota_heights,MH-11,BT2,0
2005,mendota_heights,MH-11,BT3,0
2005,rosemount,R-15,DN,0
2005,rosemount,R-15,BT1,0
2005,rosemount,R-15,BT2,0
2005,rosemount,R-15,BT3,0
2005,burnsville,B-1,DN,3
2005,burnsville,B-1,BT1,4
2005,burnsville,B-1,BT2,0
2005,burnsville,B-1,BT3,0
2005,eagan,E-19,DN,1
2005,eagan,E-19,BT1,1
2005,eagan,E-19,BT2,0
2005,eagan,E-19,BT3,0
2005,eagan,E-20,DN,0
2005,eagan,E-20,BT1,1
2005,eagan,E-20,BT2,0
2005,eagan,E-20,BT3,0
2005,hastings,H-56,DN,0
2005,hastings,H-56,BT1,0
2005,hastings,H-56,BT2,0
2005,hastings,H-56,BT3,0
2005,lakeville,L-8,DN,0
2005,lakeville,L-8,BT1,0
2005,lakeville,L-8,BT2,0
2005,lakeville,L-8,BT3,0
2005,lakeville,L-4,DN,0
2005,lakeville,L-4,BT1,0
2005,lakeville,L-4,BT2,0
2005,lakeville,L-4,BT3,0
2005,lakeville,L-9,DN,0
2005,lakeville,L-9,BT1,0
2005,lakeville,L-9,BT2,0
2005,lakeville,L-9,BT3,0
2005,mendota_heights,MH-2,DN,0
2005,mendota_heights,MH-2,BT1,0
2005,mendota_heights,MH-2,BT2,0
2005,mendota_heights,MH-2,BT3,0
2005,burnsville,B-3,DN,0
2005,burnsville,B-3,BT1,1
2005,burnsville,B-3,BT2,0
2005,burnsville,B-3,BT3,0
2005,farmington,F-1,DN,2
2005,farmington,F-1,BT1,4
2005,farmington,F-1,BT2,0
2005,farmington,F-1,BT3,0
2005,west_st_paul,WSP-1,DN,0
2005,west_st_paul,WSP-1,BT1,1
2005,west_st_paul,WSP-1,BT2,0
2005,west_st_paul,WSP-1,BT3,0
2005,apple_valley,AV-1,DN,1
2005,apple_valley,AV-1,BT1,2
2005,apple_valley,AV-1,BT2,3
2005,apple_valley,AV-1,BT3,4
2005,burnsville,B-1,DN,1
2005,burnsville,B-1,BT1,0
2005,burnsville,B-1,BT2,0
2005,burnsville,B-1,BT3,0
2005,eagan,E-10,DN,1
2005,eagan,E-10,BT1,1
2005,eagan,E-10,BT2,0
2005,eagan,E-10,BT3,0
2005,burnsville,B-11,DN,0
2005,burnsville,B-11,BT1,0
2005,burnsville,B-11,BT2,0
2005,burnsville,B-11,BT3,0
2006,rosemount,R-2,DN,1
2006,rosemount,R-2,BT1,0
2006,rosemount,R-2,BT2,0
2006,rosemount,R-2,BT3,0
2006,hastings,H-30,DN,0
2006,hastings,H-30,BT1,2
2006,hastings,H-30,BT2,1
2006,hastings,H-30,BT3,1
2006,burnsville,B-2,DN,5
2006,burnsville,B-2,BT1,0
