year,township,WLN,method,clitellata_hirudinida,insecta_ephemeroptera,insecta_odonata,insecta_hemiptera,insecta_coleoptera,insecta_diptera,insecta_trichoptera,gastropoda_basommatophora,crustacea,mollusca
1998,lakeville,L-4,DN,0,0,0,8,0,0,0,0,0,0
1998,lakeville,L-4,BT1,0,0,0,0,0,0,0,0,0,0
1998,lakeville,L-4,BT2,0,0,0,0,0,0,0,0,0,0
1998,lakeville,L-4,BT3,0,0,0,0,0,0,0,0,0,0
2000,mendota_heights,MH-2,DN,1,2,2,0,0,0,1,0,0,0
2000,mendota_heights,MH-2,BT1,4,0,0,0,0,0,0,0,0,0
2000,mendota_heights,MH-2,BT2,0,0,0,0,0,0,0,0,0,0
2000,mendota_heights,MH-2,BT3,0,0,0,0,0,0,0,0,0,0
2000,mendota_heights,MH-5,DN,0,0,0,0,0,0,0,0,0,0
2000,mendota_heights,MH-5,BT1,0,0,0,1,0,0,0,148,0,0
2000,mendota_heights,MH-5,BT2,0,0,0,0,0,0,0,0,0,0
2000,mendota_heights,MH-5,BT3,0,0,0,0,0,0,0,0,0,0
2000,inver_grove_heights,IGH-8,DN,11,0,0,0,0,0,0,2,0,0
2000,inver_grove_heights,IGH-8,BT1,42,0,0,113,0,0,0,0,0,0
2000,inver_grove_heights,IGH-8,BT2,26,0,0,103,0,0,0,0,0,0
2000,inver_grove_heights,IGH-8,BT3,54,0,0,172,0,0,0,0,0,0
2000,inver_grove_heights,IGH-6,DN,6,0,0,0,0,0,0,0,0,0
2000,inver_grove_heights,IGH-6,BT1,50,0,0,71,0,0,0,0,0,0
2000,inver_grove_heights,IGH-6,BT2,189,0,0,23,0,0,0,0,0,0
2000,inver_grove_heights,IGH-6,BT3,0,0,0,302,0,0,0,0,0,0
2000,lakeville,LH-1,DN,0,3,25,0,0,0,7,10,0,0
2000,lakeville,LH-1,BT1,0,0,0,35,0,0,0,0,0,0
2000,lakeville,LH-1,BT2,0,0,0,0,0,0,0,0,0,0
2000,lakeville,LH-1,BT3,0,0,0,11,0,0,0,0,0,0
2000,hastings,H-3,DN,0,1,0,0,0,86,0,1,0,0
